Empresa, Alborada
,,,,
tipo,nro_cuota,importe,con_plan
VN,1,230000,SOD0003514
VN,2,230000,SOD0003514
CA,1,100000,SOD0003514
VN,3,230000,SOD0003514
CA,2,300000,SOD0003514
CA,2,200000,SOD0003514
CA,7,300000,SOD0003514
CA,7,200000,SOD0003514
CA,3,200000,SOD0003514
VN,4,230000,SOD0003514
CA,8,220000,SOD0003514
CA,3,300000,SOD0003514
CA,4,200000,SOD0003514
CA,4,300000,SOD0003514
CA,9,200000,SOD0003514
VN,6,230000,SOD0003514
VN,5,230000,SOD0003514
CA,10,200000,SOD0003514
CA,11,110000,SOD0003514
CA,12,150000,SOD0003514
VN,7,230000,SOD0003514
CA,13,400000,SOD0003514
CA,14,100000,SOD0003514
CA,15,80000,SOD0003514
VN,8,230000,SOD0003514
VN,9,150000,SOD0003514
VN,9,80000,SOD0003514
VN,10,150000,SOD0003514
VN,10,80000,SOD0003514
VN,11,20000,SOD0003514
VN,11,210000,SOD0003514
CA,16,100000,SOD0003514
CA,17,100000,SOD0003514
VN,12,100000,SOD0003514
VN,12,130000,SOD0003514
1R,1,20000,SOD0003514
1R,1,80000,SOD0003514
1R,1,130000,SOD0003514
1R,2,130000,SOD0003514
