Empresa, Alborada
,,,,,,
contrato,nro_adh,parentesco,fecha_ingreso,estado,tipo
ASO0001043,3050,TITULAR,2012-03-27 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 MAS PADRES O SUEGROS          "
ASO0000657,7,CONYUGE,2011-09-13 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
535,423,TITULAR,2011-08-18 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
534,428,TITULAR,2011-08-11 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 MAS PADRES O SUEGROS          "
534,432,HIJO/A,2011-08-11 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
534,433,HIJO/A,2011-08-11 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
534,434,MADRE,2011-08-11 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
534,435,PADRE,2011-08-11 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
532,439,TITULAR,2011-08-11 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 ANOS                                                         "
532,440,CONYUGE,2011-08-11 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
532,441,HIJO/A,2011-08-11 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
532,442,HIJO/A,2011-08-11 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
ASO0000689,2552,TITULAR,2011-10-03 00:00:00,Activo,"TITULAR, PADRE Y MADRE                                                                              "
ASO0000689,2553,MADRE,2011-10-03 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
ASO0000689,2554,PADRE,2011-10-03 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
ASO0000688,2555,TITULAR,2011-10-03 00:00:00,Activo,"TITULAR, PADRE Y MADRE                                                                              "
ASO0000688,2556,MADRE,2011-10-03 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
ASO0000688,2557,PADRE,2011-10-03 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
ASO0000983,2573,TITULAR,2012-03-07 00:00:00,Activo,SOCIO INDIVIDUAL                                                                                    
ASO0000994,2668,HIJO/A,2012-03-20 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
ASO0000994,2669,HIJO/A,2012-03-20 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
ASO0000994,2670,SUEGRA,2012-03-20 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
ASO0000996,2671,TITULAR,2012-03-16 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 MAS PADRES O SUEGROS          "
ASO0000996,2672,CONYUGE,2012-03-16 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
ASO0000996,2673,HIJO/A,2012-03-16 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
ASO0000996,2674,SUEGRO,2012-03-16 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
ASO0000996,2675,SUEGRA,2012-03-16 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
ASO0000995,2676,TITULAR,2012-03-16 00:00:00,Activo,"TITULAR, PADRE Y MADRE                                                                              "
ASO0000995,2677,MADRE,2012-03-16 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
ASO0000995,2678,PADRE,2012-03-16 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
ALB0000647,4567,TITULAR,2011-08-29 00:00:00,Activo,"TITULAR, CONYUGE E HIJOS MENORES DE 22 MAS PADRES O SUEGROS          "
ALB0000647,4568,PADRE,2011-08-29 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
ALB0000647,4569,MADRE,2011-08-29 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
ALB0000647,4570,HERMANO/A,2011-08-29 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000039,2697,TITULAR,2011-09-20 00:00:00,Activo,"TITULAR, CONYUGE MAS 2 HIJOS MENORES DE 22 ANOS      "
VIT0000039,2698,CONYUGE,2011-09-20 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000039,2699,HIJO/A,2011-09-20 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000039,2700,HIJO/A,2011-09-20 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000039,2701,HIJO/A,2011-09-20 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000036,2708,TITULAR,2011-08-04 00:00:00,Activo,"TITULAR, CONYUGE MAS 2 HIJOS MENORES DE 22 ANOS      "
VIT0000036,2709,HIJO/A,2011-08-04 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000036,2710,HIJO/A,2011-08-04 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000036,2711,HIJO/A,2011-08-04 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000036,2712,HIJO/A,2011-08-04 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000032,2728,TITULAR,2011-04-24 00:00:00,Activo,"TITULAR, CONYUGE MAS 2 HIJOS MENORES DE 22 ANOS      "
VIT0000032,2729,CONYUGE,2011-04-24 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000025,2731,TITULAR,2011-04-12 00:00:00,Activo,"TITULAR, CONYUGE MAS 2 HIJOS MENORES DE 22 ANOS      "
VIT0000025,2732,CONYUGE,2011-04-12 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000025,2733,HIJO/A,2011-04-12 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000025,2734,HIJO/A,2011-04-12 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000025,2735,HIJO/A,2011-04-12 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000025,2736,HIJO/A,2011-04-14 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000016,2748,TITULAR,2011-05-05 00:00:00,Activo,"TITULAR, CONYUGE MAS 2 HIJOS MENORES DE 22 ANOS      "
VIT0000016,2749,HIJO/A,2011-05-05 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000016,2750,HIJO/A,2011-05-05 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000016,2751,HIJO/A,2011-05-05 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000016,2752,HIJO/A,2011-05-05 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000015,2753,TITULAR,2011-05-05 00:00:00,Activo,"TITULAR, CONYUGE MAS 2 HIJOS MENORES DE 22 ANOS      "
VIT0000015,2754,CONYUGE,2011-05-05 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000012,2758,TITULAR,2011-05-05 00:00:00,Activo,"TITULAR, CONYUGE MAS 2 HIJOS MENORES DE 22 ANOS      "
VIT0000012,2759,CONYUGE,2011-05-05 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000012,2760,HIJO/A,2011-05-05 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000012,2762,HIJO/A,2011-05-05 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
VIT0000012,2763,HIJO/A,2011-05-05 00:00:00,Activo,ADHERENTE SIN CARGO                                                  
